"AED모델명","우편번호(앞자리)","우편번호(뒤자리)","관리책임자명","관리자연락처","설치기관주소","설치기관전화번호","설치위치","제조사","설치기관명","경도","위도"
"Heart Guardian HR-501","088","30","김용선","882-9891","서울특별시 관악구 청룡16길 43 (봉천동 e편한세상서울대입구 2단지)","02-882-9891","1단지 관리사무소 앞 복도","(주)라디안큐바잉오","e편한세상서울대입구관리사무소","126.9430202985","37.4770094476"
"CU-SP1 PLUS","087","44","구준모","010-5049-4607","서울특별시 관악구 관악로 217 동진빌딩 (봉천동)","02-790-8971","동진빌딩6층 엘리베이터홀","씨유메디칼시스템","(주)트랜스코스모스코리아","126.9546773534","37.4843787109"
"CU-SP1 PLUS","087","44","구준모","010-5049-4607","서울특별시 관악구 관악로 217 동진빌딩 (봉천동)","02-790-8971","12층 엘리베이터 홀","씨유메디칼시스템","(주)트랜스코스모스코리아","126.9546773534","37.4843787109"
"CU-SP1 PLUS","045","55","심진희","02-790-8971","서울특별시 중구 수표로 34 씨티센터타워 18층 (저동2가)","02-790-8971","18층 엘리베이터 홀","씨유메디칼시스템","(주)트랜스코스모스코리아을지로사이트","126.9903582897","37.5643787237"
"CU-SP1 PLUS","043","15","심진희","02-790-8971","서울특별시 용산구 원효로90길 11 (원효로1가 용산더프라임)","02-790-8971","남영센터 15층 엘리베이터 홀","(주)씨유메디칼시스템","(주)트랜스코스모스코리아 남영센터","126.9697185222","37.5403958008"
"CU-SP1 PLUS","043","15","심진희","02-790-8971","서울특별시 용산구 원효로90길 11 (원효로1가 용산더프라임)","02-790-8971","남영센터 20층 엘리베이터 홀","(주)씨유메디칼시스템","(주)트랜스코스모스코리아 남영센터","126.9697185222","37.5403958008"
"CU-SP1 PLUS","043","15","심진희","02-790-8971","서울특별시 용산구 원효로90길 11 (원효로1가 용산더프라임)","02-790-8971","남영센터 21층 엘리베이터 홀","(주)씨유메디칼시스템","(주)트랜스코스모스코리아 남영센터","126.9697185222","37.5403958008"
"AED PLUS","050","92","이현용","02-4501688","서울특별시 광진구 자양번영로 35 자양3세대종합복지센터 (자양동)","02-458-1688","지하1층 경로식당입구","졸메디칼","자양종합사회복지관","127.0752336539","37.5328984063"
"Heart On A15-G4","016","02","김재경","02-2092-1931","서울특별시 노원구 동일로 1729 수락중학교 (상계동)","0220921931","중앙현관","(주)메디아나","수락중","127.0548083367","37.6831446942"
"Heart keeper","052","74","김원섭","02-427-0997","서울특별시 강동구 고덕로 360 (상일동 고덕아르테온아파트)","02-427-0997","관리사무소 앞","(주)나눔테크","고덕아르테온아파트","127.1695272594","37.5566829127"
"CU-SP1 PLUS","087","88","구준모","010-4441-6889","서울특별시 관악구 남부순환로 1836 호산빌딩 (봉천동)","02-790-8971","2층 엘리베이터홀","(주)씨유메디칼시스템","(주)트랜스코스모스코리아관악금융센터","126.9537435377","37.4805323031"
"Heart Keeper","083","78","심상호","010-8673-3521","서울특별시 구로구 디지털로34길 55 코오롱싸이언스밸리2차 (구로동)","02-790-8971","사무실 내","나눔테크","(주)트랜스코스모스코리아구로센터","126.8992821258","37.4842856391"
"HR-501","056","98","한미정","02-403-1994","서울특별시 송파구 송파대로37길 95 해누리초중 이음학교 (가락동)","02-403-1994","1층 학생생활부 옆","라디안큐바이오","해누리중학교","127.1021241968","37.4984115921"
"HR-501","073","97","정광호","02-849-8723","서울특별시 영등포구 신길로29길 17 (신길동 신길센트럴자이)","02-849-8723","관리사무소 입구","라디안큐바이오","신길센트럴자이아파트","126.9082776277","37.5037202920"
"HeartOn A15-G4","052","81","김효준","010-3572-6539","서울특별시 강동구 상암로79길 88 (상일동 고덕롯데캐슬베네루체아파트)","02-6959-3940","관리사무소","MEDIANA","고덕롯데캐슬베네루체아파트관리사무소","127.1660592333","37.5502047175"
"HeartOn A15-G4","052","81","김효준","010-3572-6539","서울특별시 강동구 상암로79길 88 (상일동 고덕롯데캐슬베네루체아파트)","02-6959-3940","정문 경비초소","MEDIAN","고덕롯데캐슬베네루체아파트관리사무소","127.1660592333","37.5502047175"
"Heart On A15-G4","080","18","이정은","070-8720-6912","서울특별시 양천구 안양천로 739 신목고등학교 (신정동)","070-8720-6912","본관 1층 중앙현관","메디아나","신목고등학교","126.8736069451","37.5129094318"
"HeartOn A15-G4","014","05","이성영","010-4344-9585","서울특별시 도봉구 노해로65길 4 창동EMART (창동)","02-901-1119","2층 화장실 앞","메디아나","이마트창동점","127.0466992828","37.6516361230"
"HeartOn A15-G4","020","43","남진숙","02-2094-0324","서울특별시 중랑구 봉화산로 179 중랑구청 (신내동)","02-2094-0327","1층 로비 안내데스크 앞","(주)메디아나","중랑구청","127.0927248419","37.6065635856"
"NF1200","047","47","김정수","02-2297-0604","서울특별시 성동구 고산자로 160 (응봉동 대림 강변 타운)","02-2297-0604","경비 8초소","씨유메디칼시스템","대림강변타운아파트","127.0348841525","37.5543398304"
"Heart Guardian HR-501","088","30","김용선","882-9891","서울특별시 관악구 청룡16길 43 (봉천동 e편한세상서울대입구 2단지)","02-882-9891","2단지 관리사무소 앞 복도","(주)라디안큐바이오","e편한세상서울대입구관리사무소","126.9434937519","37.4788387240"
"HEARTSATART HS1","055","54","이지숙","02-411-3482","서울특별시 송파구 올림픽로 240 롯데월드 (잠실동)","02-411-4609","롯데월드 지하3층 아이스링크 의무실","필립스","(주)호텔롯데롯데월드 아이스링크","127.0981417511","37.5113096112"
"NF1200","083","62","장세윤","010-9406-3346","서울특별시 구로구 연동로 239-2 항동중학교 (항동)","02-2223-0219","학교 현관 중앙","(주)씨유메이칼시스템","항동중학교","126.8201900078","37.4828545580"
"HeartSaver-A","072","82","유태연","02-6949-1129","서울특별시 영등포구 선유로9길 30 (문래동6가)","02-6949-1129","정문 경비실","(주)나눔테크","문래롯데캐슬아파트","126.8859106000","37.5178918007"
"NFK200(i-PAD)","087","36","김순귀","887-2136","서울특별시 관악구 행운1라길 17 서울봉천초등학교 (봉천동)","02-887-2136","본관 현관","씨유메디칼","봉천초등학교","126.9581884466","37.4832696026"
"samaritan PAD 350P","013","00","염원종","02-954-2566","서울특별시 도봉구 도봉산길 86 도봉분소","02-954-2566","도봉산 Y계곡 안전초소","HeartSine","북한산국립공원도봉사무소도봉분소","127.0347609811","37.6873283388"
"HeartOn A10","010","56","오정환","010-2512-8258","서울특별시 강북구 도봉로 374 서울현대병원 (번동)","1588-6853","구급차 내부","메디아나","서울현대병원","127.0285043745","37.6402559204"
"NFK200","040","69","한덕만","02-333-5007","서울특별시 마포구 서강로 53 (창전동 서강쌍용예가)","023335007","2단지 무인택배함 옆","씨유메디칼","서강쌍용예가아파트","126.9311781104","37.5483553635"
"HeartPro NT-280","052","67","이주석","02-3427-6454","서울특별시 강동구 고덕로 210 507동 (명일동 삼익그린맨션)","02-3427-6454","507동 입구","(주)나눔테크","삼익그린2차아파트","127.1470609921","37.5538092997"
"HeartPro NT-280","052","67","최석균","02-3427-6454","서울특별시 강동구 고덕로 210 (명일동 삼익그린맨션)","02-3427-6454","602동 입구","(주)나눔테크","삼익그린2차아파트","127.1470609921","37.5538092997"
"HeartPro NT-280","052","67","최석균","02-3427-6454","서울특별시 강동구 고덕로 210 (명일동 삼익그린맨션)","02-3427-6454","606동 입구","(주)나눔테크","삼익그린2차아파트","127.1470609921","37.5538092997"
"HeartPro NT-280","052","67","최석균","02-3427-6454","서울특별시 강동구 고덕로 210 (명일동 삼익그린맨션)","02-3427-6454","607동 입구","(주)나눔테크","삼익그린2차아파트","127.1470609921","37.5538092997"
"HEART GUARDIAN HR-501","034","76","김연규(구급차)","02-300-8014","서울특별시 은평구 백련산로 90 은평병원 (응암동)","023008014","은평병원 구급차(78노7100)","라디안큐바이오","서울특별시은평병원","126.9232105883","37.5939702620"
"HEART GUARDIAN HR-501","034","76","김연규(구급차)","02-300-8014","서울특별시 은평구 백련산로 90 은평병원 (응암동)","023008014","은평병원 구급차(78노7123)","라디안큐바이오","서울특별시은평병원","126.9232105883","37.5939702620"
"HeartOn A15-G4","053","16","이주현","1588-7740","서울특별시 강동구 양재대로 1525 명품빌딩 (천호동)","1588-7740","구급차(77어3258)","(주)메디아나","올바른서울병원","127.1413192404","37.5421040122"
"HeartOn A15-G4","053","56","이중일","02-480-8000","서울특별시 강동구 천호대로 1159 양병원 (길동)","02-480-8000","구급차(77라6620)","(주)메디아나","서울양병원","127.1401237865","37.5340665832"
"Heart keeper","053","78","이창현","010-7400-5039","서울특별시 강동구 천호대로 1012 (성내동)","02-472-0114","구급차(73너9550)","(주)나눔테크","허리나은병원","127.1241322759","37.5379248976"
"HeartOn A10","010","70","박정수","010-9344-5556","서울특별시 강북구 한천로 1083 광산타워(우리들병원) (수유동)","02-6222-1080","구급차 내","메디아나","강북우리들병원","127.0226341053","37.6425448823"
"HeartOn A15-G4","010","81","김대용","02-905-9120","서울특별시 강북구 도봉로 301 대한병원 (수유동)","02-905-9120","특수구급차 내부","메디아나","의료법인성화의료재단 대한병원","127.0226733117","37.6354702517"
"HeartOn A14-G4","052","95","예종륜","1661-9991","서울특별시 강동구 양재대로 1580 사랑플러스빌딩 (명일동)","1661-9991","구급차(78구2695)","(주)메디아나","사랑플러스병원","127.1436011689","37.5466308045"
"i-PAD CU-SPI","042","07","이용덕","02-3270-4187","서울특별시 마포구 마포대로 174 서부지방법원 서부지방검찰청 (공덕동)","02-3270-4186","1층 로비","씨유메디칼시스템","서울서부지방검찰청","126.9557656577","37.5496525888"
"i-PAD NF1200","042","07","이용덕","02-3270-4187","서울특별시 마포구 마포대로 174 서부지방법원 서부지방검찰청 (공덕동)","02-3270-4186","1층 민원실","씨유메디칼시스템","서울서부지방검찰청","126.9557656577","37.5496525888"
"samaritianPAD350p","087","92","박향미","872-8061","서울특별시 관악구 낙성대로 23 서울인헌초등학교 (봉천동)","02-872-8061","2층 엘리베이터 옆","HeartSine","서울인헌초등학교","126.9598639274","37.4767549867"
"i-PAD NF1200","042","07","이용덕","02-3270-4187","서울특별시 마포구 마포대로 174 서부지방법원 서부지방검찰청 (공덕동)","02-3270-4186","별관2층 경찰관실일반민원인 출입불가","씨유메디칼시스템","서울서부지방검찰청","126.9557656577","37.5496525888"
"HEARTSATART HS1","055","54","이지숙","02-411-3482","서울특별시 송파구 올림픽로 240 롯데월드 (잠실동)","02-411-3482","롯데월드 어드벤처 의무실","필립스","롯데월드어드벤처","127.0981417511","37.5113096112"
"HeartOn A15-G4","033","30","남윤길","010-4248-0129","서울특별시 은평구 통일로 873 청구성심병원 (갈현동)","02-350-3300","구급차 내","(주)메디아나","의료법인 청구성심병원","126.9195527472","37.6207901019"
"HR-501-B","010","79","이지현","010-9453-6970","서울특별시 강북구 삼각산로28길 58 (수유동)","02-901-1571","구급차 내부","라디안","국립재활원","127.0102645906","37.6386557049"
"AED PLUS","053","55","강대준","02-2224-2124","서울특별시 강동구 성안로 150 강동성심병원 (길동)","02-2224-2124","구급차(79두9120)","ZOLL Medical","강동성심병원","127.1353357025","37.5361555499"
"i-PAD CU-SP1 plus","037","22","김가량","010-2937-5840","서울특별시 서대문구 연세로 50-1 신촌세브란스병원 (신촌동)","02-2228-2461","특수구급차 내","씨유메디칼","연세의료원","126.9408233922","37.5614057751"
"HeartPlus NT-180","050","97","이경원","02-3780-0899","서울특별시 광진구 강변북로 139 한강공원뚝섬안내센터 (자양동)","02-3780-0844","뚝섬한강공원수영장","나눔테크","뚝섬한강공원수영장","127.0739781646","37.5293645718"
"CU-ER3","031","81","조해원","02-2001-2815","서울특별시 종로구 새문안로 29 강북삼성병원 (평동)","02-2001-2815","구급차 내부","씨유메디칼","강북삼성병원","126.9678127036","37.5688677261"
"Heart On A15-G4","037","22","김가량","010-2937-5840","서울특별시 서대문구 연세로 50-1 신촌세브란스병원 (신촌동)","02-2228-2461","일반구급차 내","메디아나","연세의료원","126.9408233922","37.5614057751"
"AED-2100K","031","81","박찬열","02-2002-8750","서울특별시 종로구 새문안로 9 서울적십자병원 (평동)","02-2002-8000","구급차 내부","NIHON KOHDEN","서울적십자병원","126.9672024939","37.5667630123"
"저출력심장충격기 /G5A","030","35","이유빈","02","서울특별시 종로구 자하문로19길 36 종로구보건소 청운효자동자치회관 (옥인동)","02-2148-3693","구급차 내부","Cardiac Science Corporation","종로구보건소","126.9692257994","37.5818305315"
"HeartOn A15-G4","053","68","한동하","02-2225-1162","서울특별시 강동구 진황도로61길 53 중앙보훈병원 (둔촌동)","02-2225-1716","특수구급차(74보9486)","(주)메디아나","중앙보훈병원","127.1479255559","37.5284637471"
"HR-501-B","039","57","오상백","010-2008-0129","서울특별시 마포구 망원로1길 36 (망원동)","02-313-1339","서울백병원 위탁운영 구급차 내부(70루8969)","(주)라디안","(주)이엠에스응급환자이송센터","126.8995868831","37.5579435766"
"NFK200","039","57","오상백","010-2008-0129","서울특별시 마포구 망원로1길 36 (망원동)","02-313-1339","한강성심병원 위탁운영 구급차 내부(70가8205)","(주)씨유메디칼시스템","(주)이엠에스응급환자이송센터","126.8995868831","37.5579435766"
"HeartOn A15-G4","069","19","김기웅","02-810-7999","서울특별시 동작구 양녕로 283 상도정동병원 (상도1동)","02-810-7999","구급차","(주)메디아나","정동병원","126.9494387047","37.5049498152"
"HR-501","011","70","김형균","010-2958-8388","서울특별시 강북구 도봉로 187 Y빌딩 (미아동)","029860334","구급차 내","라디안","강북으뜸병원","127.0261845244","37.6254205559"
"HR-501","052","85","최지연","02-440-3280","서울특별시 강동구 상일로12길 56 강명중학교 (강일동)","02-440-3200","1층 중앙현관","(주)라디안","강명중학교","127.1748966822","37.5555934349"
"HR-501-B","075","05","김예은","02-2660-4121","서울특별시 강서구 하늘길 76 (과해동)","02-2660-4047","국내선#6 주기장 방면","라디안","한국공항공사 서울지역본부","126.7982958196","37.5609244915"
"heart on A15-G4","088","64","신현태","1899-7272","서울특별시 관악구 난곡로 215 (신림동)","1899-7272","구급차 내부","(주)메디아나","조인트힐병원","126.9175474233","37.4737283481"
"Heart Keeper","087","67","이영웅","853-4600","서울특별시 관악구 남부순환로 1449 서울본병원 (신림동)","02-853-4600","구급차 내부","(주)나눔테크","강남힐병원","126.9117085300","37.4815863363"
"heart on A10-G4","087","61","박상연","1588-3330","서울특별시 관악구 남부순환로 1485 삼남빌딩 (신림동)","02-1588-3330","구급차내부","MEDIANA","심정병원","126.9156501352","37.4823520999"
"heart on A10-G4","087","87","김용식","1644-4630","서울특별시 관악구 남부순환로 1814 대연빌딩 (봉천동)","1644-4630","구급차 내부","(주)메디아나","연세건우병원","126.9515661242","37.4810358154"
"HR-501-B","075","05","김예은","02-2660-4121","서울특별시 강서구 하늘길 76 (과해동)","02-2660-4047","국내선#18 주기장 방면","라디안","한국공항공사 서울지역본부","126.7982958196","37.5609244915"
"HeartOn A10-G4","082","71","김철구","010-5654-2114","서울특별시 구로구 경인로 218 더세인트빌딩 (오류동)","02-333-1119","구급차 내","MEDIANA","더세인트요양병원","126.8451621979","37.4962524857"
"HR-501","085","29","조재경","02-867-7056","서울특별시 금천구 가산로 122 (가산동)","02-867-7056","성지병원 일반구급차","(주)라디안큐바이오","성지병원","126.8928800076","37.4765953048"
"Heart On A15-G4","045","60","전봉호","02-6740-0123","서울특별시 중구 동호로 330 씨제이제일제당센터 (쌍림동)","02-6740-0123","씨제이부속의원 운용 구급차(71더 2863)","(주)메디아나","씨제이부속의원","127.0032531993","37.5639736242"
"HR-501","045","70","오승연","02-2234-8585","서울특별시 중구 다산로 258 리마크빌 동대문 23층 (흥인동)","02-2234-8585","참바로병원에서 운용 중인 구급차","(주)라디안큐바이오","참바로병원","127.0166238436","37.5657948536"
"HeartOn A10-G4","033","34","손진만","02-388-8114","서울특별시 은평구 연서로 177 은평연세병원 (갈현동)","02-388-8114","구급차 내","(주)메디아나","은평연세병원","126.9174722185","37.6146922208"
"Heart Keeper","083","42","송수현","010-8757-1525","서울특별시 구로구 서해안로 2296 삼성미래여성병원 (오류동)","02-2682-2100","구급차 내","나눔테크","삼성미래여성병원","126.8404440308","37.4912413885"
