AED모델명,우편번호(앞자리),우편번호(뒤자리),관리책임자명,관리자연락처,설치기관주소,설치기관전화번호,설치위치,제조사,설치기관명,경도,위도
NT-381.C,25,21,김민혁,2212-8420,서울특별시 동대문구 답십리로69길 100(장안동),02-961-4048,파출소1층 순찰팀장 뒷편,나눔테크,장안2파출소,127.0744038,37.57679364
NT-381.C,24,86,양민규,02-961-4322,서울특별시 동대문구 약령시로21길 29 동대문경찰서 (청량리동),02-961-4114,경찰서 본관1층,나눔테크,동대문경찰서,127.0457943,37.58515762
NT-381.C,24,86,양민규,02-961-4322,서울특별시 동대문구 약령시로21길 29 동대문경찰서 (청량리동),02-961-4114,경찰서 별관1층,나눔테크,동대문경찰서,127.0457943,37.58515762
NT-381.C,24,86,양민규,02-961-4322,서울특별시 동대문구 약령시로21길 29 동대문경찰서 (청량리동),02-961-4114,경찰서 정문,나눔테크,동대문경찰서,127.0457943,37.58515762
NT-381.C,24,80,김미경,928-5065,서울특별시 동대문구 약령시로17길 59-11(제기동),02-961-4304,1층 출입문 옆,나눔테크,제기파출소,127.0420264,37.58556267
NT-381.C,25,90,양용일,923-2535,서울특별시 동대문구 청계천로 549(용두동),02-961-4018,1층 사무실 우측 벽면,나눔테크,용신지구대,127.037209,37.57284342
NT-381.C,25,76,양용일,923-6349,서울특별시 동대문구 왕산로 95 용두 치안센터 (용두동),02-923-6349,1층 소내입구 우측,나눔테크,용두 치안센터,127.0339973,37.57834595
NT-381.C,25,80,양용일,928-7345,서울특별시 동대문구 왕산로 5 신설 치안센터 (신설동),02-928-7345,1층 좌측 벽면,나눔테크,신설 치안센터,127.0242117,37.57619013
NT-381,24,22,박도인,02-968-1066,서울특별시 동대문구 한천로58길 139(이문동 이문1차 푸르지오 아파트),02-968-1066,관리동 관리사무소 내,(주)나눔테크,이문푸르지오1차아파트,127.0701776,37.60237648
NT-381,26,39,권영미,010-2503-8045,서울특별시 동대문구 장한로20길 7(장안동 서희스타힐스),010-4054-3438,주출입문 입구(A동 1층),나눔테크,서희스타힐스,127.0703171,37.56898776
NT-381.O,26,13,이은희,02-2216-6823,서울특별시 동대문구 답십리로56길 21(답십리동 두산아파트),02-2216-6823,관리사무소,나눔테크,답십리두산아파트(분양),127.0598603,37.57006932
NT-381.O,25,24,서영완,02-2216-4870,서울특별시 동대문구 장안벚꽃로 167(장안동 래미안장안2차아파트),02-2216-4870,관리실,나눔테크,래미안장안2차아파트(분양),127.0754602,37.57408882
NT-381.O,25,24,서영완,02-2216-4870,서울특별시 동대문구 장안벚꽃로 167(장안동 래미안장안2차아파트),02-2216-4870,경로당,나눔테크,래미안장안2차아파트(분양),127.0755025,37.57398292
NT-381.O,25,24,서영완,02-2216-4870,서울특별시 동대문구 장안벚꽃로 167(장안동 래미안장안2차아파트),02-2216-4870,1초소,나눔테크,래미안장안2차아파트(분양),127.0764685,37.57492834
NT-381.O,25,24,서영완,02-2216-4870,서울특별시 동대문구 장안벚꽃로 167(장안동 래미안장안2차아파트),02-2216-4870,4초소,나눔테크,래미안장안2차아파트(분양),127.0742086,37.57341612
NT-381.O,25,24,서영완,02-2216-4870,서울특별시 동대문구 장안벚꽃로 167(장안동 래미안장안2차아파트),02-2216-4870,2초소,나눔테크,래미안장안2차아파트(분양),127.07594,37.57280684
NT-381.O,25,24,서영완,02-2216-4870,서울특별시 동대문구 장안벚꽃로 167(장안동 래미안장안2차아파트),02-2216-4870,3초소,나눔테크,래미안장안2차아파트(분양),127.0742821,37.5750721
HeartOn A15-G4,25,87,김종선,010-5477-5054,서울특별시 동대문구 무학로 91(용두동 e편한세상 청계센트럴포레 아파트),02-925-3371,정문경비실,메디아나,e편한세상청계센트럴포레아파트,127.0300621,37.57200123
NFK200,25,32,김기문,02-2216-5318,서울특별시 동대문구 사가정로 148,02-2216-5318,관리사무소 입구,(주)씨유메디컬,전농sk아파트(분양),127.0606877,37.57667616
NFK200,24,77,신현덕,6218-9700,서울특별시 동대문구 약령시로 25,62189700,관리사무소 앞,(주)씨유메디컬,안암골벽산아파트,127.0317003,37.5831461
HEARTON-A10,24,6,이재웅,010-3248-1929,서울특별시 동대문구 신이문로 9,02-957-8558,관리사무실 입구,메디아나,신이문어울림,127.0633541,37.60316294
HEARTON-A10,26,9,신경순,02-2243-8249,서울특별시 동대문구 답십리로60길 38,222438249,아파트내,메디아나,답십리대림아파트,127.0637778,37.571058
HEARTON-A10,25,2,김진금,02-3394-6563,서울특별시 동대문구 외대역동로 14  (휘경동 휘경센트레빌),233946563,아파트내,메디아나,휘경동부센트레빌(분양임대),127.0686732,37.59096838
HEARTON-A10,24,27,김영진,010-9930-3056,서울특별시 동대문구 휘경로11길 52,02-966-7312,107동 경비실 안,메디아나,이문중앙하이츠,127.0648571,37.59699764
HEARTON-A10,25,1,주경호,02-2246-3322,서울특별시 동대문구 망우로20길 86,222463322,아파트내,메디아나,브라운스톤휘경아파트,127.0655317,37.589998
HEARTON-A10,25,42,최홍섭,010-2489-8289,서울특별시 동대문구 답십리로41길 7  (답십리동 답십리대우아파트),010-8989-7566,아파트내,메디아나,답십리대우(임대),127.054512,37.57308646
HEARTON-A10,25,5,이재광,010-97204333,서울특별시 동대문구 전농로 190,22434048,201동 관리사무소,메디아나,전농삼성아파트(임대),127.0555607,37.5813298
HEARTON-A10,25,8,서상열,010-8759-3567,서울특별시 동대문구 전농로16길 51 (전농동 688-1),2212-8088,아파트내,메디아나,래미안아름숲2차아파트(임대),127.0604383,37.57833421
HEARTON-A10,24,84,박재헌,02-963-2696,서울특별시 동대문구 제기로26길 26  (청량리동 동부센트레빌아파트),29632696,제2관리사무소 내,메디아나,홍릉동부센트레빌(제2관리사무소),127.0450872,37.58535098
HEARTON-A10,24,7,김용국,010-6292-2367,서울특별시 동대문구 이문로54길 16  (이문동 이문e편한세상아파트),02-969-1480,아파트내,메디아나,이문e-편한세상(임대),127.0629978,37.60476887
HEARTON-A10,25,67,배기수,010-3701-9792,서울특별시 동대문구 고산자로29길 18,959-1472,아파트내,메디아나,래미안용두1차아파트(임대),127.0370188,37.57638511
HEARTON-A10,25,91,김윤배,02-2245-0091,서울특별시 동대문구 서울시립대로 31,2245-0091,관리사무소 내,메디아나,전농동아아파트(임대),127.0458645,37.57531055
HEARTON-A10,24,23,송형근,010-7130-5776,서울특별시 동대문구 한천로58길 75-45  (이문동 쌍용아파트),957-9351,임대아파트 관리사무소 내,메디아나,이문쌍용(임대),127.0677966,37.60153328
HEARTON-A10,26,13,김영한,02-2212-5741,서울특별시 동대문구 답십리로56길 21-1,02-2213-5741,아파트내,메디아나,답십리두산아파트(임대),127.0592488,37.5697768
HEARTON-A10,26,12,박주섭,010-2041-3177,서울특별시 동대문구 한천로11길 10-1,2213-8626,아파트내,메디아나,답십리동아(임대),127.061632,37.56989001
HEARTON-A10,24,63,이근항,010-9728-8778,서울특별시 동대문구 제기로 129 (청량리동 59),02-3295-1762,아파트내 (123동 앞 노인정 옆 관리사무실),(주)메디아나,청량리한신1차아파트(임대),127.0476483,37.58749073
HEARTON-A10,25,32,정수달,010-7130-5662,서울특별시 동대문구 전농로10길 111  (전농동 전농SK아파트),02-3394-5001,2층 관리사무소 좌측 입구,(주)메디아나,전농sk아파트(임대),127.0631513,37.57754009
HeartPro NT-280,24,63,최응순,02-957-2884,서울특별시 동대문구 제기로 131 (청량리동 60),957-2884,관리사무소,(주)나눔테크,청량리한신아파트(분양),127.0492247,37.58802708
HeartPlus NT-180,25,88,백종호,02-928-0515,서울특별시 동대문구 무학로26길 30,29280515,정문초소,(주)나눔테크,용두신동아아파트(분양),127.0315846,37.57310248
NFK200,26,41,이광열,2217-5384,서울특별시 동대문구 장한로14길 81 관리사무소,22175384,관리사무소 입구,(주)씨유메디컬,래미안장안1차아파트(분양),127.0721794,37.56682029
NFK200,25,21,조성주,2214-6537,서울특별시 동대문구 장안벚꽃로1길 7 (장안동 장안 힐스테이트),22146537,지하 보안실,(주)씨유메디컬,장안힐스테이트,127.0745726,37.5763379
NFK200,130,30,이긍우,2249-1335,서울특별시 동대문구 답십리로 184,22491335,관리사무소 입구,씨유메디칼시스템,동서울한양,127.0604534,37.57176162
NFK200,24,7,강태훈,962-0400,서울특별시 동대문구 한천로63길 10  (이문동 이문e편한세상아파트),02-962-0400,관리사무소 입구,(주)씨유메디컬,이문e-편한세상(분양),127.0637044,37.60490473
NFK200,130,80,이충구,960-0425,서울특별시 동대문구 이문로 12길 3-10,02-960-0425,관리사무소 입구,(주)씨유메디컬,래미안이문2차,127.0609858,37.59303471
NFK200,24,61,김상호,960-0030,서울특별시 동대문구 이문로1길 21 (회기동 청량리신현대아파트),960-0030,정문 경비실 내,(주)씨유메디컬,청량리신현대,127.0524004,37.58931233
NFK200,26,12,성인준,2215-5957,서울특별시 동대문구 한천로11길 10-1,22155957,관리사무소 입구,(주)씨유메디컬,답십리동아(분양),127.0616325,37.56988965
NFK200,25,67,김경학,963-5803,서울특별시 동대문구 정릉천동로 36 (용두동 래미안허브리츠),02-963-5802,아파트 정문 경비초소 내,(주)씨유메디컬,용두래미안허브리츠,127.0367187,37.57478992
NFK200,25,8,김인섭,02-2244-4402,서울특별시 동대문구 전농로16길 51  (전농동 래미안아름숲),02-2244-4402,관리사무소 입구,(주)씨유메디컬,래미안아름숲1차아파트(분양),127.0604395,37.57833439
NFK200,25,36,양병수,2244-6285,서울특별시 동대문구 전농로10길 20  (답십리동 답십리청솔우성아파트),22446285,정문초소 내,(주)씨유메디컬,답십리청솔우성(분양),127.0601286,37.57460803
NFK200,24,22,김생묵,3295-0473,서울특별시 동대문구 한천로58길 107 (이문동 현대아파트),02-3295-0473,관리사무소 입구,(주)씨유메디컬,이문현대,127.0697666,37.60125769
HeartPLus NT-180,24,55,남태식,010-9154-2236,서울특별시 동대문구 회기로 37 한국국방연구원,961-1280,당직실,나눔테크,한국국방연구원,127.0400698,37.59157108
HEARTON-A10,25,15,정종화,02-2018-4522,서울특별시 동대문구 사가정로 253 서울지방경찰청 제2기동단,02-2018-4523,1층 출입문 우측실외,메디아나,서울지방경찰청 제2기동단,127.0731622,37.57986572
NFK200,25,35,김건우,010-7942-9997,서울특별시 동대문구 한천로37길 33 관리사무소,02-2217-8851,관리사무소 입구,씨유메디칼시스템,답십리래미안엘파인(분양),127.0658133,37.57632455
HEARTON-A10,25,97,노만형,010-3534-4629,서울특별시 동대문구 천호대로55길 11 관리사무소 (답십리동 힐스테이트청계아파트),02-3394-9333,커뮤니티센터 앞,(주)메디아나,힐스테이트청계아파트,127.0461077,37.57154736
HR-501,25,51,박상복,010-9982-7958,서울특별시 동대문구 답십리로23길 30 관리사무소 (전농동 동대문롯데캐슬노블레스),2212-9036,관리사무소,(주)라디안큐바이오,동대문롯데캐슬노블레스,127.0496792,37.5767933
HeartPlus NT-180,26,24,조영선,02-3390-4869,서울특별시 동대문구 장한로 91 현대썬앤빌601 공동주택 관리사무소 (장안동),3390-4869,상가 1층 엘리베이터 옆,나눔테크,현대썬앤빌601 공동주택,127.0693345,37.56915025
POWER HEART AED G3PLUS,24,67,이용엽,016-317-6029,서울특별시 동대문구 고산자로 534  (제기동 한신아파트),963-0480,관리동 1층 출입구,카디악사이언스,제기한신휴플러스아파트,127.0392205,37.58839483
NF1200,25,86,홍준표,010-3365-9320,서울특별시 동대문구 천호대로4길 21 서울풍물시장,02-2232-3367,풍물시장정문,씨유메디칼시스템,서울풍물시장,127.0255029,37.57271319
HeartPlus NT-180,25,86,홍준표,010-3365-9320,서울특별시 동대문구 천호대로4길 21 서울풍물시장,02-2232-3367,풍물시장후문,나눔테크,서울풍물시장,127.0255029,37.57271319
HeartPLus NT-180,25,53,정호경,010-4235-5947,서울특별시 동대문구 사가정로 65 관리사무소내,02-2212-7096,관리사무소내,(주)나눔테크,래미안크레시티아파트,127.0506569,37.57628472
HeartPro NT-280,25,12,한영민,02-2248-2943,서울특별시 동대문구 한천로 248 (휘경동 57),02-2248-2943,관리사무소,(주)나눔테크,휘경주공1단지아파트,127.0715183,37.5833242
HeartPro NT-280,25,12,한영민,02-2248-2943,서울특별시 동대문구 한천로 248 (휘경동 57),02-2248-2943,경비1초소,(주)나눔테크,휘경주공1단지아파트,127.069661,37.58279373
HeartPro NT-280,25,12,한영민,02-2248-2943,서울특별시 동대문구 한천로 248 (휘경동 57),02-2248-2943,경비2초소,(주)나눔테크,휘경주공1단지아파트,127.0699891,37.58255928
HeartPro NT-280,25,12,한영민,02-2248-2943,서울특별시 동대문구 한천로 248 (휘경동 57),02-2248-2943,경비4초소,(주)나눔테크,휘경주공1단지아파트,127.0705607,37.58236635
HeartPro NT-280,25,12,한영민,02-2248-2943,서울특별시 동대문구 한천로 248 (휘경동 57),02-2248-2943,경비5초소,(주)나눔테크,휘경주공1단지아파트,127.0713587,37.58226563
HeartPro-NT280,25,12,김정수,010-5421-2252,서울특별시 동대문구 한천로 248,2217-1045,경로당,(주)나눔테크,휘경주공2단지,127.0718963,37.58323658
HeartPro-NT280,25,12,김정수,010-5421-2252,서울특별시 동대문구 한천로 248,2217-1045,3초소 경비실,(주)나눔테크,휘경주공2단지,127.0718963,37.58323658
HeartPro NT-280,24,63,최응순,02-957-2884,서울특별시 동대문구 제기로 131 (청량리동 한신아파트),957-2884,1층 노인정,(주)나눔테크,청량리한신아파트(분양),127.0492262,37.5880287
HeartPro NT-280,24,63,최응순,02-957-2884,서울특별시 동대문구 제기로 131 (청량리동 한신아파트),957-2884,관제실 내,(주)나눔테크,청량리한신아파트(분양),127.0492262,37.5880287
NFK200,25,93,양영호,02-2215-5605,서울특별시 동대문구 서울시립대로 14,02-2215-5605,아파트 경비초소 (정문),(주)씨유메디컬,청계한신휴플러스아파트,127.0459859,37.57237271
HEARTON-A10,25,93,양영호,02-2215-5605,서울특별시 동대문구 서울시립대로 14,02-2215-5605,관리사무소 1층 통합경비실,(주)메디아나,청계한신휴플러스아파트,127.0459859,37.57237271
Hearton A10,24,67,이융엽,010-8976-9706,서울특별시 동대문구 회기로8길 20,957-0832,제2관리사무소 내,메디아나,제기한신아파트(임대),127.0397625,37.59053252
AED-2100K,25,98,최병원,010-4190-3661,서울특별시 동대문구 답십리로 130,02-2249-8682,보안초소(106동),니혼코덴코리아,답십리래미안위브,127.0524024,37.57285658
AED-2100K,25,98,최병원,010-4190-3661,서울특별시 동대문구 답십리로 130,02-2249-8682,관리사무소 앞(309동),니혼코덴코리아,답십리래미안위브,127.0524024,37.57285658
AED-2100K,25,98,최병원,010-4190-3661,서울특별시 동대문구 답십리로 130,02-2249-8682,보안초소(4초소옆),니혼코덴코리아,답십리래미안위브,127.0524024,37.57285658
NT-180,25,98,최병원,010-4190-3661,서울특별시 동대문구 답십리로 130,02-2249-8682,보안초소(3초소) 310동,(주)나눔테크,답십리래미안위브,127.0524024,37.57285658
AED-2100K,25,98,최병원,010-4190-3661,서울특별시 동대문구 답십리로 130,02-2249-8682,노인정앞(108동),니혼코덴코리아,답십리래미안위브,127.0524024,37.57285658
HeartPlus NT-180,24,86,김아석,010-3299-9389,서울특별시 동대문구 약령시로21길 29 동대문경찰서,961-4169,유치장 내,나눔테크,동대문경찰서 유치장,127.0457943,37.58515762
HeartON A15-G4,130,731,송도섭,02-2246-0525,서울특별시 동대문구 답십리로 210-30 (답십리동 한신아파트),02-2246-0525,노인정 입구,(주)메디아나,동답한신아파트,127.0630057,37.57139178
HeartPLus NT-180,24,85,민한식,010-2310-0298,서울특별시 동대문구 홍릉로10길 48  (청량리동 홍릉동부아파트),959-7200,관리사무소 내,나눔테크,홍릉동부센트레빌(제1관리사무소),127.0462606,37.58579598
